,Annual Income,Kids at Home,Teens at Home,Days as Customer,Customer Recency,Wine,Fruit,Meat,Fish,Sweets,Gold,Deals Purchased,Web Purchases,Catalog Purchases,Store Purchases,Monthly Web Visits,Cluster
357,68462.0,0,0,3175,6,561,64,785,84,128,48,1,3,3,8,1,2
358,65073.0,0,0,2924,65,629,17,177,69,0,8,1,5,3,5,2,0
359,46681.0,0,2,2875,52,269,15,69,15,19,38,2,4,6,4,5,0
360,78618.0,0,0,3250,87,736,163,818,212,163,61,1,4,7,10,2,2
361,62187.0,0,1,2710,38,512,0,83,0,0,41,3,6,2,10,4,0
362,28442.0,2,0,2736,53,19,3,10,11,8,6,3,2,1,4,4,1
363,37717.0,1,0,3194,31,9,0,6,4,1,5,1,1,0,2,9,1
364,51479.0,1,1,3159,67,247,8,160,6,8,65,7,6,3,6,7,0
365,54803.0,0,1,3288,65,404,0,92,28,27,142,2,6,2,9,4,0
366,79530.0,0,0,3019,64,333,0,815,129,42,29,1,4,10,11,2,2
367,31615.0,1,0,3081,82,2,3,20,6,11,9,2,2,0,3,7,1
368,72025.0,0,0,3200,27,833,33,549,151,133,233,1,4,3,8,3,2
369,52614.0,0,1,3186,63,789,0,142,12,9,38,2,2,4,8,8,0
370,35684.0,1,0,2679,66,10,4,7,0,6,3,1,1,0,3,6,1
371,48178.0,1,1,3220,69,159,4,45,6,2,38,6,5,1,4,8,1
372,29548.0,1,0,2915,52,7,1,6,3,1,11,1,1,1,2,4,1
373,63810.0,0,1,3206,45,977,12,253,16,12,101,4,4,3,12,8,0
374,38578.0,1,1,2983,2,38,4,22,3,3,3,3,3,0,3,8,1
375,46098.0,1,1,3291,86,57,0,27,0,0,36,4,3,2,2,8,1
376,22585.0,0,0,3079,23,3,9,15,13,2,39,1,1,1,2,9,1
377,30279.0,1,0,3157,13,10,4,14,4,4,1,1,1,0,3,8,1
378,66426.0,0,1,2881,14,1043,24,97,32,24,157,2,3,5,10,6,0
379,30822.0,1,0,2991,92,3,9,13,2,12,12,1,1,0,3,7,1
380,33581.0,2,0,3148,38,11,0,5,0,0,1,1,1,0,2,8,1
381,19986.0,1,0,2838,74,3,6,5,0,2,6,1,0,0,3,7,1
382,27421.0,0,0,3175,14,43,12,96,78,40,55,3,4,1,6,7,0
383,35688.0,2,1,3287,94,73,3,90,12,1,32,7,4,1,4,8,1
384,36143.0,1,0,2702,33,12,0,1,0,0,6,1,0,1,2,3,1
385,10245.0,1,0,3021,32,4,7,7,6,4,13,3,1,2,2,5,1
386,43795.0,0,1,2867,11,314,11,53,4,3,107,3,7,3,4,7,0
387,63381.0,0,1,3243,78,571,50,142,33,50,159,4,4,5,13,2,0
388,38823.0,0,1,3279,56,70,0,11,2,8,23,1,2,1,3,6,1
389,83664.0,1,1,3028,57,866,21,151,28,21,86,3,2,2,12,5,0
390,90300.0,0,0,2788,7,594,134,786,33,134,57,0,5,6,8,1,2
391,62499.0,1,0,2813,0,140,4,61,0,13,4,2,3,1,6,4,1
392,74293.0,0,0,2667,66,375,152,335,93,91,81,1,5,4,6,2,2
393,51012.0,0,0,3048,86,102,9,63,2,9,24,1,4,1,4,6,1
394,70777.0,0,1,2735,80,554,35,113,0,7,78,3,5,3,12,3,0
395,68682.0,0,0,2877,56,919,0,505,99,30,45,1,4,9,10,2,2
396,43824.0,1,1,3263,18,96,1,42,12,3,32,4,3,1,4,8,1
397,15345.0,1,0,3278,51,5,2,16,3,2,19,2,1,1,2,8,1
398,23442.0,1,0,3163,71,2,0,6,8,6,5,1,1,0,3,7,1
399,14515.0,1,0,3208,71,6,4,9,6,36,35,4,2,2,3,7,1
400,31395.0,1,1,3074,80,23,1,25,0,8,7,4,2,1,3,6,1
401,75276.0,0,0,3251,2,610,105,125,137,42,21,1,9,4,9,5,2
402,42373.0,1,1,2929,83,67,5,61,3,8,19,5,2,1,5,5,1
403,30507.0,0,0,3086,29,65,36,74,38,20,110,1,5,1,4,7,1
404,55521.0,1,2,2861,11,416,0,26,0,0,4,9,6,3,6,7,0
405,48006.0,1,1,2631,55,23,0,11,3,2,2,1,1,0,3,6,1
406,27213.0,1,0,3279,19,19,3,26,10,9,3,3,2,0,4,8,1
407,65808.0,1,1,2641,1,155,7,80,13,7,10,3,5,1,5,6,1
408,30351.0,1,0,2999,19,14,0,24,3,3,2,1,3,0,2,9,1
409,50437.0,0,2,3231,28,370,9,92,6,9,4,3,7,1,8,7,0
410,23616.0,1,0,3200,76,4,22,11,3,7,32,2,3,0,3,8,1
411,53858.0,0,1,3208,50,407,53,221,58,150,26,4,4,3,6,4,0
412,66465.0,0,1,3067,1,1200,0,204,38,29,14,3,11,9,12,6,0
413,46923.0,1,0,3287,90,85,44,54,102,78,6,3,5,1,7,7,1
414,75072.0,0,1,3133,83,583,34,309,0,22,125,2,5,4,8,3,0
415,75865.0,0,0,2701,73,483,0,591,156,0,12,1,3,5,10,1,2
416,19789.0,1,0,2832,24,2,5,9,28,6,28,3,2,1,3,5,1
417,80134.0,0,0,2746,11,966,26,282,52,26,26,1,2,7,11,5,2
418,91065.0,0,0,3103,33,822,114,108,179,137,114,1,7,9,9,3,2
419,49505.0,1,1,3092,4,604,0,100,19,0,28,9,10,2,8,8,0
420,37401.0,1,0,2665,14,19,3,19,3,1,3,2,2,0,3,7,1
421,30096.0,1,0,2649,30,5,3,11,12,5,9,1,2,0,3,6,1
422,18492.0,1,0,2635,75,2,2,2,2,1,1,1,1,0,2,8,1
423,82584.0,0,0,3001,26,1076,68,103,29,91,68,1,3,4,8,1,2
424,93027.0,0,0,3053,77,1285,42,716,55,0,21,0,7,10,5,2,2
425,48686.0,1,2,2818,8,10,0,7,2,0,1,1,1,0,2,8,1
426,92910.0,0,0,2677,42,551,137,792,179,103,33,1,6,7,13,1,2
427,75433.0,1,0,2696,28,800,0,297,0,34,57,2,2,5,10,6,0
428,10404.0,1,0,2667,52,2,2,11,10,6,12,2,1,0,4,5,1
429,61314.0,0,1,3041,1,378,0,189,97,172,172,2,5,5,12,3,2
430,84865.0,0,0,3027,1,1248,16,349,43,16,16,1,2,4,9,4,2
431,42387.0,1,0,3219,42,235,0,235,19,4,191,5,8,1,7,8,0
432,67309.0,1,1,3133,76,515,47,181,149,95,95,15,9,6,9,7,0
433,75236.0,0,1,2827,27,438,66,400,12,38,114,1,8,3,13,4,0
434,30015.0,1,0,2758,28,25,0,22,2,3,5,2,1,0,4,5,1
435,50943.0,0,1,2984,49,31,0,7,2,0,6,1,1,0,3,5,1
436,67272.0,0,1,2801,12,357,35,271,28,28,14,3,6,2,12,5,0
437,51529.0,0,1,2906,14,400,4,35,6,0,22,2,9,1,5,8,0
438,32011.0,1,0,2922,89,99,0,15,2,1,5,3,2,1,4,7,1
439,7500.0,1,0,3118,96,1,11,5,4,6,9,2,2,0,3,8,1
440,28691.0,1,0,2971,56,5,4,13,8,0,4,1,1,0,3,8,1
441,56223.0,0,1,2802,72,77,28,31,16,0,4,2,2,1,5,4,1
442,18100.0,0,0,2938,14,3,1,2,4,3,1,1,0,0,3,5,1
443,30279.0,1,0,3157,13,10,4,14,4,4,1,1,1,0,3,8,1
444,20130.0,0,0,2715,99,0,6,3,7,6,12,1,1,0,3,8,1
445,23295.0,0,0,2962,72,0,0,1,2,12,5,1,1,0,2,8,1
446,42618.0,1,0,2874,92,76,14,74,13,5,10,2,5,0,4,8,1
447,81246.0,0,0,2793,87,398,190,537,61,156,37,1,4,5,7,1,2
448,24027.0,1,0,2996,7,14,7,11,11,0,5,2,2,0,3,8,1
449,55707.0,0,1,2800,91,208,7,82,30,66,35,2,3,2,9,3,0
450,57959.0,0,1,3034,71,430,16,322,43,24,33,5,4,7,11,3,0
451,56796.0,0,1,3109,24,656,38,161,62,47,37,3,8,9,7,7,0
452,36230.0,1,0,2866,17,14,2,30,8,2,3,1,2,0,4,5,1
453,70829.0,1,1,2821,87,141,70,106,72,19,23,2,4,2,8,3,0
454,65991.0,0,1,3271,21,507,19,364,25,47,9,3,9,5,10,7,0
455,38988.0,1,2,3289,90,164,24,103,12,3,42,7,5,1,6,8,0
456,89572.0,0,0,3263,44,606,24,974,197,194,64,1,7,7,9,4,2
457,42207.0,1,0,3065,71,116,11,72,3,17,46,4,4,1,5,6,1
458,50300.0,0,1,2646,52,143,15,60,24,23,5,2,2,1,8,2,0
459,66664.0,0,0,3253,78,398,96,447,220,96,32,1,5,7,6,3,2
460,60597.0,0,1,2790,2,522,0,257,32,16,66,4,2,2,8,7,0
461,70165.0,0,0,2891,60,161,0,253,199,191,122,1,3,7,11,1,2
462,50520.0,0,1,2763,25,112,0,6,2,1,14,2,3,1,3,6,1
463,80124.0,0,0,2614,47,483,84,398,205,84,241,1,3,7,8,1,2
464,33183.0,1,0,2736,46,7,5,39,17,15,37,2,4,0,3,7,1
465,66582.0,0,0,2729,83,789,25,420,16,38,0,1,2,8,9,1,2
466,75261.0,0,0,3043,17,1239,17,413,23,34,17,1,5,6,5,2,2
467,31880.0,1,0,3217,13,4,1,5,2,0,3,1,1,0,2,8,1
468,53790.0,0,2,2726,86,335,42,127,28,5,5,3,7,2,8,6,0
469,49269.0,1,0,3294,92,639,8,166,11,8,58,3,7,3,12,7,0
470,61456.0,0,1,3070,47,563,76,384,84,192,89,4,6,10,13,4,2
471,37406.0,1,0,2873,18,2,0,8,2,2,3,1,1,0,2,8,1
472,56937.0,1,0,3305,81,746,8,125,11,8,8,7,8,6,9,6,0
473,38415.0,1,1,3154,91,22,1,13,4,0,4,2,1,0,3,7,1
474,20518.0,1,0,2653,58,4,1,6,4,1,9,1,1,1,2,5,1
475,62503.0,0,1,3107,40,478,0,193,110,75,117,4,8,3,11,5,0
476,41644.0,1,1,2662,67,20,3,4,2,0,2,2,1,0,3,3,1
477,55842.0,0,1,2648,19,451,0,39,0,4,24,1,7,1,8,5,0
478,62010.0,0,1,3225,93,371,22,39,6,0,92,4,6,2,7,5,0
479,41124.0,1,0,3217,41,281,7,84,15,0,119,7,7,3,4,8,0
480,38961.0,1,0,2792,60,19,7,19,0,1,24,1,2,1,2,7,1
481,37760.0,1,0,2933,54,26,3,13,2,10,0,1,2,0,3,6,1
482,32233.0,1,0,3290,26,138,15,35,25,11,72,2,6,2,2,9,1
483,43057.0,0,1,2853,30,213,2,44,0,2,5,4,4,2,5,5,0
484,83151.0,0,0,3238,93,407,28,100,120,74,18,1,5,9,4,3,2
485,78825.0,0,0,3264,35,483,74,114,169,37,18,1,5,10,13,3,2
486,65104.0,0,1,2838,4,738,0,232,13,20,50,2,3,5,7,7,0
487,60093.0,0,1,2979,92,502,12,109,16,6,90,2,7,2,10,6,0
488,14045.0,1,0,2765,24,11,0,5,2,1,1,1,1,0,3,7,1
489,28457.0,0,0,3220,96,24,1,108,29,29,14,1,4,1,4,8,1
490,78952.0,0,1,3254,11,1170,19,594,99,76,134,2,2,5,12,6,2
491,46310.0,1,0,3184,99,185,2,88,15,5,14,2,6,1,5,8,1
492,76005.0,0,0,3103,72,983,20,389,240,50,40,1,3,5,13,6,2
493,58308.0,0,1,3144,77,691,0,69,10,0,130,4,2,6,3,8,0
494,55614.0,0,0,2825,85,504,13,131,8,0,26,1,9,4,6,7,0
495,59432.0,0,1,3053,88,317,25,265,25,19,12,3,5,3,11,5,0
496,55563.0,0,1,2696,22,29,1,9,2,0,2,1,2,0,3,3,1
497,78642.0,0,1,3045,83,1396,0,322,46,35,17,1,4,9,4,6,0
498,67911.0,0,1,2649,63,529,0,356,63,28,0,3,6,7,11,3,0
499,65275.0,0,0,3063,9,388,14,218,91,14,21,1,4,3,13,2,2
500,27203.0,1,1,3303,92,13,2,21,4,0,24,2,1,1,2,8,1
501,48330.0,0,1,2837,2,28,0,4,0,0,0,1,1,0,3,5,1
502,24279.0,0,0,3158,6,16,36,21,20,62,108,1,4,1,3,8,1
503,64355.0,1,0,3285,66,1047,0,140,67,38,153,2,4,3,12,8,0
504,50943.0,0,1,2984,49,31,0,7,2,0,6,1,1,0,3,5,1
505,53653.0,0,0,3210,29,815,10,239,28,10,108,2,10,4,12,6,0
506,65665.0,0,1,2820,77,225,162,387,106,36,29,1,5,10,8,3,2
507,81217.0,0,0,2956,77,493,70,324,146,40,84,1,3,7,11,1,2
508,34935.0,0,0,2984,71,34,4,66,3,10,20,1,2,1,4,7,1
509,61250.0,0,1,3171,49,382,138,65,60,26,59,6,5,2,12,5,0
510,39665.0,1,0,3011,97,127,1,56,0,1,31,3,4,2,3,7,1
511,60152.0,0,1,3069,6,325,83,300,86,58,91,1,6,4,12,3,2
512,48920.0,0,2,2863,93,238,17,68,8,10,6,3,6,2,5,7,0
513,89120.0,0,0,2715,78,1168,92,408,72,129,55,1,5,6,7,1,2
514,44124.0,0,1,3025,62,284,0,55,0,6,52,4,6,2,5,8,0
515,81169.0,0,0,3052,47,1288,20,613,80,61,27,1,5,7,9,2,2
516,36443.0,1,1,3122,9,65,0,46,4,3,20,4,3,1,3,8,1
517,26095.0,1,0,2975,77,11,7,9,3,1,11,1,1,0,3,7,1
518,71367.0,0,0,2921,24,227,23,389,42,21,75,1,4,5,7,2,2
519,80184.0,0,0,2731,19,1035,134,670,25,38,0,1,6,3,10,3,2
520,30630.0,1,1,2764,67,27,1,12,2,0,10,2,2,0,3,7,1
521,73454.0,0,0,2731,95,982,73,351,56,14,175,1,2,4,6,5,2
522,42691.0,0,0,2928,48,179,2,64,38,17,58,1,5,1,6,5,1
523,70503.0,0,0,3248,73,1379,33,216,0,33,66,1,2,4,9,6,0
524,25545.0,1,0,3270,35,32,1,64,16,12,85,3,2,2,3,6,1
525,32880.0,1,0,3183,76,8,4,15,7,6,2,1,1,0,3,8,1
526,77863.0,0,0,2825,20,881,38,319,16,25,12,1,4,5,10,2,2
527,50353.0,0,0,2632,72,141,15,153,67,31,35,1,4,4,6,3,1
528,61839.0,0,0,3297,20,1000,155,379,224,17,120,1,4,8,4,8,2
529,49154.0,1,1,2849,69,206,10,67,30,27,71,6,4,1,8,6,0
530,47682.0,0,1,3110,80,162,61,83,97,57,61,4,4,3,8,5,0
531,72679.0,0,1,2895,65,619,54,260,127,54,54,1,4,7,5,1,2
532,57954.0,1,1,2622,52,456,4,24,0,0,9,7,8,2,6,7,0
533,65316.0,1,1,3042,65,112,6,92,3,9,38,2,3,2,5,4,1
534,28567.0,1,0,2988,57,11,3,22,2,2,6,2,2,0,3,6,1
535,47352.0,0,1,3055,70,172,12,112,8,0,15,4,6,1,5,7,0
536,44931.0,0,1,2773,0,78,0,11,0,0,7,1,2,1,3,5,1
537,76982.0,0,0,2745,19,464,151,292,65,60,30,1,8,3,4,4,2
538,57247.0,0,1,2936,50,99,4,32,37,54,6,2,2,1,7,2,0
539,22944.0,1,0,2799,67,19,3,19,4,5,26,3,3,0,3,7,1
540,25315.0,1,0,2845,46,1,9,8,11,3,22,3,3,0,3,8,1
541,43638.0,0,1,3303,37,63,10,83,7,19,19,2,4,1,4,7,1
542,42710.0,1,0,3189,38,252,3,42,4,3,102,2,4,5,3,6,1
543,84169.0,0,0,2937,9,1478,19,403,0,19,0,1,7,6,6,3,2
544,54058.0,0,1,3001,56,198,18,252,32,108,54,2,4,6,8,3,2
545,24683.0,1,0,2724,98,8,4,10,6,7,6,2,2,0,4,5,1
546,85620.0,0,0,2784,68,416,46,925,60,107,46,1,3,6,4,1,2
547,47850.0,1,0,2819,72,42,7,43,20,12,10,1,3,0,4,6,1
548,19514.0,1,1,2765,47,14,3,21,2,1,28,4,3,1,2,8,1
549,27159.0,1,1,2703,33,17,0,3,0,0,1,2,1,0,3,6,1
550,39548.0,1,1,2701,87,15,4,10,3,4,18,2,1,1,3,3,1
551,21474.0,1,0,2693,0,6,16,24,11,0,34,2,3,1,2,7,1
552,60504.0,0,1,2753,73,458,0,24,6,4,34,2,6,2,8,6,0
553,22419.0,0,0,3048,74,30,3,47,19,21,42,1,3,2,2,8,1
554,81698.0,0,0,2846,4,179,28,520,111,123,47,1,3,8,13,1,2
555,43462.0,1,1,3266,50,90,17,97,15,6,15,6,4,1,5,8,0
556,54880.0,1,0,3096,57,308,85,137,102,45,118,2,6,2,11,5,2
557,79908.0,0,0,3061,30,557,129,761,29,185,111,1,5,6,7,2,2
558,15315.0,0,0,2941,27,7,4,13,15,8,17,2,2,0,4,5,1
559,87771.0,0,1,3014,61,1492,38,287,50,57,33,1,5,10,4,6,2
560,33039.0,1,0,2904,4,30,8,12,8,8,12,1,2,0,4,5,1
561,81741.0,0,0,2989,75,249,153,940,58,134,38,0,6,6,7,2,2
562,71499.0,0,1,2980,12,465,25,132,136,0,37,2,8,3,13,4,0
563,62466.0,0,1,2776,13,129,129,259,168,121,83,5,6,3,12,4,2
564,48799.0,0,1,2847,9,174,18,81,28,6,24,3,3,2,7,3,0
565,52157.0,0,1,2633,48,189,2,29,3,2,40,2,3,2,5,4,0
566,66565.0,0,1,3182,80,747,10,161,65,40,42,4,4,2,9,8,0
567,29298.0,1,1,2906,60,6,0,2,2,0,1,1,1,0,2,5,1
568,47691.0,0,1,2970,43,14,0,3,0,0,4,1,1,0,2,6,1
569,38200.0,1,1,3180,19,12,0,4,0,0,1,1,1,0,2,7,1
570,44989.0,0,1,3266,26,98,0,106,49,10,106,5,5,1,5,6,0
571,38443.0,1,1,2764,58,32,0,5,0,0,1,2,1,0,3,7,1
572,38593.0,1,0,2900,42,51,12,49,17,24,24,3,4,1,3,8,1
573,64413.0,0,1,2943,27,200,5,44,0,10,20,1,5,1,5,5,0
574,36959.0,1,0,2881,56,25,6,25,6,0,0,2,2,0,3,8,1
575,61996.0,0,1,3125,27,1050,12,144,0,0,24,3,6,4,8,5,0
576,51287.0,1,1,2700,10,117,0,22,13,0,30,3,4,1,3,7,1
577,13260.0,1,1,2921,48,9,4,17,10,2,7,4,3,0,3,8,1
578,47472.0,1,1,2897,39,56,0,11,0,0,8,2,2,0,4,5,1
579,54603.0,1,1,2966,85,145,13,46,17,2,4,6,4,2,4,7,1
580,45207.0,1,1,3207,64,203,0,10,0,0,2,5,3,1,6,6,1
581,40689.0,0,1,3079,69,270,3,27,39,6,99,7,7,1,5,8,0
582,47821.0,1,1,2863,54,9,0,16,6,6,10,1,1,0,3,8,1
583,27450.0,0,0,3051,57,37,12,23,8,11,52,1,2,1,3,7,1
584,39453.0,1,0,2698,64,46,0,7,0,0,2,2,2,0,3,6,1
585,26850.0,1,1,2683,10,31,1,13,7,2,9,4,2,1,4,4,1
586,79800.0,0,0,3255,65,1060,21,530,32,0,224,1,5,11,5,3,2
587,61794.0,0,1,2899,74,264,47,188,54,47,11,2,4,4,10,2,0
588,53863.0,0,1,2654,4,399,4,30,6,4,30,3,7,1,7,7,0
589,24221.0,0,0,2924,94,8,9,9,2,5,22,1,1,1,3,4,1
590,39684.0,1,0,3236,41,19,0,35,6,4,17,2,2,1,2,7,1
591,92163.0,0,0,3175,25,817,183,797,106,163,20,0,5,11,5,2,2
592,69882.0,0,0,2842,94,292,127,635,132,127,165,1,3,7,9,1,2
593,33178.0,1,0,2761,9,12,6,2,11,2,16,1,1,0,3,4,1
594,59973.0,0,0,2902,47,130,30,168,20,34,0,1,3,4,7,1,2
595,17459.0,1,0,2894,12,6,4,16,3,10,30,3,3,1,2,7,1
596,23910.0,1,0,3222,80,16,12,18,7,1,13,1,2,0,3,7,1
597,42169.0,1,1,2864,20,19,0,9,0,0,2,2,1,0,3,8,1
598,26224.0,1,0,3001,39,4,7,15,13,9,15,3,2,1,3,6,1
599,31089.0,1,0,3292,57,31,3,31,2,8,4,3,3,0,4,8,1
600,30081.0,0,1,3104,27,36,0,2,0,0,4,1,1,0,3,7,1
601,62807.0,0,1,3278,83,526,28,135,10,21,99,3,5,3,12,5,0
602,72906.0,0,0,2896,79,400,32,519,71,75,54,1,3,4,9,1,2
603,61467.0,0,2,3178,69,410,16,114,0,5,49,3,5,2,10,5,0
604,49618.0,1,1,3130,77,80,3,26,4,2,14,4,3,1,3,7,1
605,21888.0,1,0,3158,15,88,10,46,2,3,64,4,5,1,2,10,1
606,42429.0,0,1,2749,99,55,0,6,2,0,4,2,1,1,3,5,1
607,26150.0,2,1,3086,61,5,1,13,3,5,1,1,1,0,3,7,1
608,30801.0,0,1,3222,23,8,4,5,15,2,11,2,1,0,3,7,1
609,81168.0,0,0,2664,84,410,0,592,147,22,22,1,6,4,7,3,2
610,26877.0,0,0,2925,74,101,13,76,20,18,40,2,3,1,6,6,1
611,45006.0,0,0,2957,90,162,25,53,16,0,10,1,3,1,7,3,1
612,18978.0,1,0,3176,41,2,8,1,4,7,15,1,1,0,3,8,1
613,22574.0,2,1,2855,28,25,0,8,2,0,2,2,2,0,3,7,1
614,48240.0,0,0,3208,73,389,91,248,64,49,41,3,6,3,13,5,2
615,45837.0,1,1,2949,88,215,13,87,17,17,24,5,6,2,5,7,0
616,35791.0,2,1,3030,94,27,0,5,0,0,3,2,1,0,3,8,1
617,162397.0,1,1,3002,31,85,1,16,2,1,2,0,0,0,1,1,1
618,54162.0,1,1,3079,31,5,6,10,6,5,10,1,1,0,3,4,1
619,30522.0,0,1,3292,6,179,8,83,19,11,26,5,1,2,9,2,0
620,54456.0,0,1,2964,23,352,0,27,10,0,15,3,6,1,7,6,0
621,31632.0,0,0,2961,92,17,8,12,11,15,32,1,2,1,2,7,1
622,72298.0,0,0,2722,52,625,35,169,58,17,35,1,4,3,6,1,2
623,36975.0,1,0,2794,50,10,6,11,0,4,2,1,1,0,3,7,1
624,72635.0,0,0,3002,54,390,22,323,104,35,107,1,6,8,6,3,2
625,13624.0,1,0,3136,93,10,2,15,2,1,6,2,2,0,3,6,1
626,84196.0,0,1,3002,56,215,63,507,231,31,190,1,8,4,7,3,2
627,70971.0,0,1,3257,28,1001,17,572,93,125,17,7,11,11,5,7,0
628,34487.0,1,1,3272,94,19,18,33,24,1,8,3,3,0,3,9,1
629,28769.0,1,0,3169,76,41,5,129,10,3,3,3,4,1,4,9,1
630,69084.0,1,0,2833,43,1181,107,199,39,30,30,2,7,3,13,8,0
631,65488.0,0,0,2627,46,603,45,207,36,18,54,1,3,4,6,1,2
632,62466.0,0,1,2776,13,129,129,259,168,121,83,5,6,3,12,4,2
633,32218.0,0,0,2745,27,10,24,15,13,1,30,1,2,1,3,7,1
634,83917.0,0,0,3048,12,514,22,732,42,198,79,1,6,7,7,3,2
635,46102.0,2,1,2722,3,14,0,1,0,0,1,1,1,0,2,7,1
636,84574.0,0,0,3001,72,387,20,713,38,54,163,1,9,11,11,5,2
637,56181.0,0,1,3148,6,121,103,69,8,44,48,1,4,2,7,4,0
638,63120.0,0,1,3250,53,965,69,279,54,41,69,5,8,4,9,7,0
639,73691.0,0,1,2846,58,707,21,250,85,43,73,2,6,2,8,2,0
640,63381.0,0,1,3243,78,571,50,142,33,50,159,4,4,5,13,2,0
641,76140.0,0,0,2658,57,586,66,653,17,0,26,1,5,9,6,2,2
642,62859.0,0,1,3157,37,1063,89,102,16,12,25,4,9,4,6,6,0
643,45906.0,0,1,3029,20,305,3,27,4,3,144,2,5,4,4,5,0
644,77632.0,0,0,3087,73,1200,105,758,0,42,147,1,4,2,6,2,2
645,46463.0,1,1,2926,56,163,2,40,8,11,11,7,3,1,6,6,1
646,105471.0,0,0,3135,36,1009,181,104,202,21,207,0,9,8,13,3,2
647,55282.0,1,0,2809,9,125,6,73,8,4,19,1,3,1,6,4,1
648,78710.0,0,1,2648,42,721,0,152,119,50,50,3,7,6,12,4,0
649,66886.0,0,1,2897,28,315,4,62,41,31,146,2,7,1,7,5,0
650,98777.0,0,0,2743,23,1000,19,711,125,115,38,0,4,6,9,1,2
651,29103.0,1,0,3282,38,16,0,17,6,3,6,2,1,0,3,9,1
652,67445.0,0,1,3297,63,757,80,217,29,80,11,5,9,6,12,6,0
653,50616.0,0,1,2688,71,30,2,25,0,1,9,1,1,1,4,2,1
654,49431.0,0,1,3306,9,219,3,100,26,0,17,2,7,1,5,8,0
655,153924.0,0,0,2753,81,1,1,1,1,1,1,0,0,0,0,0,1
656,61278.0,0,1,2787,87,111,3,28,2,6,15,2,3,1,4,6,1
657,26490.0,0,0,3256,92,45,47,52,21,20,25,2,3,1,5,6,1
658,73059.0,0,1,2913,36,410,112,420,0,82,71,1,9,3,13,4,2
659,46734.0,1,2,2862,86,100,1,39,6,1,76,4,3,2,3,6,1
660,56253.0,0,1,3180,83,509,0,65,7,11,5,4,7,2,9,6,0
661,19986.0,1,0,2838,74,3,6,5,0,2,6,1,0,0,3,7,1
662,58330.0,0,1,2797,87,445,53,213,104,98,151,1,6,4,13,4,2
663,25965.0,0,0,3271,29,2,2,11,41,7,11,1,2,0,3,8,1
664,14661.0,0,0,3155,88,4,1,11,6,2,2,1,1,0,3,6,1
665,18690.0,0,0,3159,77,6,1,7,23,4,19,1,1,1,2,8,1
666,45068.0,0,1,3020,25,14,0,3,0,0,3,1,1,0,2,7,1
667,21063.0,1,0,2888,34,1,10,11,19,3,15,2,2,0,3,6,1
668,29187.0,1,0,3027,43,26,0,6,0,0,2,1,1,0,3,8,1
669,54690.0,1,1,2845,76,111,16,37,7,9,18,3,3,1,5,3,1
670,59304.0,0,1,2946,81,418,61,428,80,51,10,3,7,8,10,5,2
671,59247.0,0,2,2844,87,327,9,122,19,14,83,5,5,2,9,6,0
672,66731.0,0,1,3266,33,371,159,194,58,106,141,4,4,3,6,3,2
673,77353.0,0,1,2806,38,275,59,107,69,101,59,2,6,4,8,4,2
674,52614.0,0,1,3186,63,789,0,142,12,9,38,2,2,4,8,8,0
675,26751.0,2,0,2649,26,1,1,5,0,3,1,1,1,0,2,8,1
676,81300.0,0,1,3218,17,1004,12,145,32,12,36,3,10,3,5,5,0
677,70337.0,0,0,2789,75,187,81,149,25,43,91,1,2,2,12,1,2
678,36145.0,1,0,2989,13,56,4,76,17,1,18,4,4,1,3,9,1
679,65295.0,0,0,2799,19,365,32,117,34,110,6,1,3,3,13,2,2
680,68118.0,0,1,2865,51,595,23,123,10,23,154,2,8,9,4,6,0
681,68743.0,0,0,3279,81,1132,134,384,175,134,115,1,11,5,13,7,2
682,41039.0,0,0,2950,32,34,11,137,179,61,45,1,8,1,5,8,0
683,38946.0,0,1,2859,84,116,6,82,6,6,41,2,3,1,6,5,1
684,65777.0,0,0,2803,87,565,32,435,28,32,54,1,2,8,6,1,2
685,66476.0,0,1,3090,99,372,18,126,47,48,78,2,5,2,11,4,0
686,86857.0,0,0,3266,96,899,102,838,133,102,40,1,5,6,10,2,2
687,160803.0,0,0,3305,21,55,16,1622,17,3,4,15,0,28,1,0,2
688,77845.0,0,0,2655,40,760,40,480,0,40,26,1,3,5,12,1,2
689,69476.0,0,0,2883,3,260,86,559,63,9,67,1,4,6,4,2,2
690,50611.0,0,1,3244,98,459,0,24,6,0,4,6,4,5,7,6,0
691,61209.0,0,0,2919,73,466,0,224,119,49,99,1,5,3,4,2,2
692,42315.0,0,1,2963,90,67,15,80,17,11,80,3,1,4,4,3,0
693,13084.0,0,0,2850,29,2,0,7,3,7,10,1,1,0,3,6,1
694,47570.0,1,1,3007,3,67,1,20,0,2,31,3,2,2,2,7,1
695,61923.0,0,2,2949,94,92,4,18,3,3,6,1,2,1,4,3,1
696,34824.0,0,0,2706,65,4,2,11,2,0,4,1,1,0,2,6,1
697,26518.0,1,1,3058,33,20,1,28,3,3,2,3,2,0,3,8,1
698,45938.0,0,0,2849,46,273,11,178,62,83,29,2,8,4,6,6,0
699,78468.0,0,0,2692,29,434,22,388,104,22,34,1,10,7,10,4,2
700,78901.0,0,1,2896,99,321,11,309,33,26,34,3,9,3,5,4,0
701,71427.0,2,0,2720,26,212,123,177,15,64,23,2,8,2,8,4,2
702,71022.0,0,1,2749,30,909,12,278,0,12,242,3,5,2,11,8,0
